Designator,Footprint,Quantity,Value,LCSC Part #,MFG,MPN
B1,BUTTON-4p5X4p5,1,BUTTON-4p5X4p5,C410371,Hanbo Electronic,TS-KG09S
"C1, C10, C15, C16, C17, C18, C19, C2, C20, C21, C23, C24, C26, C27, C28, C3, C32, C34, C35, C36, C37, C38, C39, C40, C42, C43, C44, C46, C48, C49, C5, C6, C63, C64, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C8, C9",C_0603,49,C-0.1-0603,C14663,YAGEO,CC0603KRX7R9BB104
"C11, C12, C13, C14, C29, C65",PAD_0603,6,C-10u-0603,C96446,Samsung Electro-Mechanics,CL10A106MA8NRNC
"C22, C41, C45, C47",PAD_0603,4,C-22u-0603,C59461,Samsung Electro-Mechanics,CL10A226MQ8NRNC
"C25, C4, C62",PAD_0603,3,C-1u-0603,C15849,Samsung Electro-Mechanics,CL10A105KB8NNNC
"C30, C31",C_0603,2,C-4.7p-0603,C1669,FH (Guangdong Fenghua Advanced Tech),0603CG4R7C500NT
C33,PAD_1206,1,C-10u-50V-1206,C13585,Samsung Electro-Mechanics,CL31A106KBHNNNE
"C50, C61",C_0603,2,C-56p-0603,C107053,YAGEO,CC0603JRNPO9BN560
C51,PAD_0603,1,C-12p-0603,C576801,YAGEO,CC0603JRNPO0BN120
"C52, C57",PAD_0603,2,C-330p-0603,C327088,YAGEO,CC0603JRNPO0BN331
C53,C_0603,1,C-82p-0603,C1683,FH (Guangdong Fenghua Advanced Tech),0603CG820J500NT
C54,C_0603,1,C-39p-0603,C107049,YAGEO,CC0603JRNPO9BN390
"C55, C58",C_0603,2,C-68p-0603,C62782,YAGEO,CC0603JRNPO9BN680
C56,C_0603,1,C-47p-0603,C105622,YAGEO,CC0603JRNPO9BN470
C59,C_0603,1,C-22p-0603,C105620,YAGEO,CC0603JRNPO9BN220
C60,PAD_0603,1,C-100p-0603,C14665,YAGEO,CC0603JRNPO9BN101
"D1, D2",SOD-123,2,Schottky_Pwr_B5819W,C8598,"Jiangsu Changjing Electronics Technology Co., Ltd.",B5819W SL
D3,LED_RGB_SIDE,1,LED_RGB_SIDE,C389528,MEIHUA,MHS110RGBCT
"H1, H2, H3, H4",MountingHole_M2.5-PTH,4,~,,,
"J1, J2, J3",SMA-RA-Jack,3,CONN_SMA_JACK_RA,C91455,,
J10,HRS_U.FL-R-SMT(01),1,U.FL-R,C88374,HRS(Hirose),U.FL-R-SMT-1(80)
J5,USB-3.0,1,USB-3.0,C2895032,XUNPU,USB-306BWD-ARW
"J6, J7, J8, J9",Pin_Header_Straight_1x03_Pitch2.54mm,4,Conn_01x03,C2937625,XFCN,PZ254V-11-03P
"L1, L15, L16, L17, L4, L5, L6, L7",603,8,FBEAD0603-1u-190mA,C307748,TDK,MLZ1608A1R0WT000
"L10, L11",Murata2U,2,Inductor-120n-1008,C2044072,Murata Electronics,LQW2UASR12J00L
"L12, L9",Murata2U,2,Inductor-820n-1008,C701161,Murata Electronics,LQW2UASR82J00L
"L13, L14",Murata2U,2,Inductor-150n-1008,C2043109,Murata Electronics,LQW2UASR15J0CL
L2,TIS-Logo,1,TIS_LOGO,,,
L3,603,1,FBEAD0603_2A,C14709,Murata Electronics,BLM18PG121SN1D
L8,Murata2U,1,Inductor-180n-1008,C162664,Murata Electronics,LQW2UASR18J00L
"Q1, Q3",SOT-23,2,PMOS Si2343DS,C6903,Vishay Intertech,SI2343CDS-T1-GE3
Q2,SOT-23,1,MMBT3904,C20526,"Jiangsu Changjing Electronics Technology Co., Ltd.",MMBT3904(RANGE:100-300)
"R1, R4, R5",PAD_0603,3,R-4.7-0603,C23164,,
"R10, R11, R12, R9",4D02,4,R-22 0402x4,C25499,,
R13,PAD_0603,1,R-6.04K-0603,C25977,,
R14,PAD_0603,1,R-200-0603,C8218,,
"R15, R16, R17, R25, R26, R27",PAD_0603,6,R-1K-0603,C21190,,
